scaffold,mean_shap,effect,n_total,n_active,n_inactive,active_ratio
c1cncc(-c2nc(NCCN3CCOCC3)c3ccccc3n2)c1,0.002152696,positive,1,1,0,1
c1cncc(CNc2ncncc2-c2cnoc2)c1,0.002152456,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,0.002146016,positive,6,6,0,1
c1ccc(-c2ccc3ncnc(NCCc4c[nH]c5ccccc45)c3c2)cc1,0.002139085,positive,5,5,0,1
c1ccc(C2C3C(=Nc4ncnn42)c2ccccc2OC3c2ccncc2)cc1,0.002137291,positive,1,1,0,1
c1ccc(CCNc2nc(-c3cccnc3)cs2)cc1,0.002134071,positive,1,1,0,1
c1cn(-c2cc(-c3ccc4c(c3)OCO4)ncn2)cn1,0.002132237,positive,1,1,0,1
c1ccc(Nc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1,0.002128249,positive,1,1,0,1
O=C1C(Oc2ccccc2)C(c2ccc3c(c2)OCO3)N1CCc1ccccc1,0.002127917,positive,1,1,0,1
c1ccc(-c2cncnc2NCc2cccs2)cc1,0.002125775,positive,9,9,0,1
c1coc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,0.002121685,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2s1,0.002121665,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NC1CCCCC1,0.002121115,positive,1,1,0,1
O=C(CSCc1coc(-c2ccccc2)n1)NCc1ccc2c(c1)OCO2,0.002115106,positive,1,1,0,1
O=C(NCc1ccccc1)C(c1ccccc1)N(Cc1cccs1)C(=O)c1cnccn1,0.002113988,positive,1,1,0,1
O=C(CSc1nnc2ccc3ccccc3n12)Nc1nc(-c2ccccc2)cs1,0.002112339,positive,1,1,0,1
c1ccc(CNc2ncncc2-c2cccnc2)cc1,0.002108374,positive,4,4,0,1
O=S(=O)(NCC=NOCCC1C=CC(Oc2ccccc2)CO1)c1ccccc1,0.002092405,positive,1,1,0,1
c1ccc(-c2nccc(NCc3cccnc3)n2)cc1,0.002091122,positive,4,4,0,1
c1ccc(C(Cn2ccnc2)OCc2csc3ccccc23)cc1,0.002089788,positive,1,1,0,1
O=C1C=C2C(CCC3C4CCCC5CC23OC54)C(c2ccoc2)O1,0.002087505,positive,1,1,0,1
O=C(CSc1nnc(-c2ccccn2)n1Cc1ccco1)Nc1ccc2c(c1)OCO2,0.002086467,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)c1cccnc1)c1ccccc1)Nc1ccc2ccccc2c1,0.002082045,positive,2,2,0,1
O=C1OC(=NCc2ccccc2)C2C3C(=CCc4c[nH]cc43)C=CN12,0.002074642,positive,2,2,0,1
O=C(CCCCCN1C=C(C(=O)OCc2ccccc2)C(c2ccc(C3CCCCC3)cc2)NC1=O)NCc1ccccc1,0.002072023,positive,1,1,0,1
O=C(NCc1ccc2c(c1)OCO2)C1CCCN1C(=O)Nc1ccccc1,0.002067918,positive,1,1,0,1
c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1,0.002063996,positive,6,6,0,1
O=C(c1cc2c(n1CC1CC1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002062418,positive,1,1,0,1
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,0.00206224,positive,4,4,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccc3)C2C1,0.002061545,positive,4,4,0,1
c1ccc(-c2cncnc2-n2ccnc2)cc1,0.002054856,positive,6,6,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,0.002051917,positive,2,2,0,1
O=C(NCC1CCCO1)c1c2ccccc2cn1Cc1ccc2c(c1)OCO2,0.002051525,positive,1,1,0,1
