scaffold,mean_shap,effect
O=C(c1ccccc1)N1CCCC2(CCN(Cc3ccncc3)C2)C1,0.0023314625,positive
c1cncc(CNc2nc(-c3cnoc3)nc3ccccc23)c1,0.0023311966,positive
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,0.0023302452,positive
c1ccc(Nc2ncncc2-c2ccccc2)cc1,0.0023296087,positive
O=C(c1ccncc1)N1CCCC2(CCN(Cc3ccccc3)C2)C1,0.0023181015,positive
O=C1C=C2CCc3cn(-c4ccccc4)cc3C2C2(Cc3ccccc3)C(=NCCc3c[nH]c4ccccc34)OC(=O)N12,0.0023174738,positive
c1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1,0.0023157431,positive
c1ccc2c(CCNc3cc(-c4ccc5c(c4)OCO5)ncn3)c[nH]c2c1,0.002310087,positive
O=C1OC(=NCCc2c[nH]c3ccccc23)C2C3C(=CCc4c[nH]cc43)C=CN12,0.0023068264,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,0.002290301,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccncc1,0.0022860179,positive
c1ccc(CNc2ncnc3ccc(-c4cnoc4)cc23)cc1,0.0022769535,positive
c1cncc(-c2nccc(NCCc3c[nH]c4ccccc34)n2)c1,0.0022669944,positive
c1ccc(Nc2ncncc2-c2ccoc2)cc1,0.0022661535,positive
c1cc2c(cc1Cc1nncn1C1CCCCC1)OCO2,0.0022648217,positive
c1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,0.002263161,positive
O=C(NCc1ccc2c(c1)OCO2)C1C2C=CC3(CN(Cc4ccccc4)C(=O)C13)O2,0.0022607706,positive
c1ccc2c(CCNc3ncnc4ccc(-c5cnoc5)cc34)c[nH]c2c1,0.002257697,positive
O=C(c1cnccn1)N1CCCC2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,0.0022527936,positive
c1ncc(-c2ccc3c(c2)OCO3)c(NCCc2c[nH]cn2)n1,0.0022498495,positive
O=C(CCN1C(=O)COc2ccccc21)NCc1ccc2c(c1)OCO2,0.002244001,positive
O=C(CC1CC1C(NC(=O)c1ccncc1)c1ccccc1)Nc1ccc2ccccc2c1,0.00223739,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccn3)C2C1Cc1ccccc1,0.002235323,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCN3CCOCC3)C2C1Cc1ccccc1,0.0022225482,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CC3CC3)C2C1Cc1ccccc1,0.002221708,positive
c1ccc(-c2nccc(-n3ccnc3)n2)cc1,0.0022211387,positive
O=C1CNCN1CCn1ccc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21,0.0022179238,positive
c1ccc(Nc2ncncc2-c2cnoc2)cc1,0.0022100147,positive
O=C(NC1CCCCC1)C(c1ccncc1)N(C(=O)Cn1nnc(-c2cccs2)n1)c1ccccc1,0.0022075782,positive
O=C(c1ccncc1)N1CCCC2(CCN(C(c3ccccc3)c3ccccc3)C2)C1,0.0022030675,positive
c1ccc(-c2nnc(SCc3nc4ccccc4[nH]3)[nH]2)cc1,0.0021998712,positive
c1cncc(CNc2ncnc3ccc(-c4ccoc4)cc23)c1,0.0021953597,positive
O=S(=O)(c1ccccc1)N1c2ccccc2-n2cccc2C1c1cccnc1,0.0021899776,positive
O=C(NCc1ccc2c(c1)OCO2)C1c2ccccc2NC(=O)N1c1ccccc1,0.0021870895,positive
c1ccc(Nc2ncnc3ccc(-c4cccnc4)cc23)cc1,0.002183354,positive
O=C(c1ccccc1)N1CC2Cc3[nH]ccc3C2C1Cc1ccccc1,0.002181394,positive
O=C1CNCN1CCn1c(C(=O)N2CCCC2)cc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21,0.0021801689,positive
O=C1C=C2CCc3c[nH]cc3C2C2(Cc3ccccc3)C(=NCCc3c[nH]c4ccccc34)OC(=O)N12,0.0021775034,positive
c1ccc2c(Nc3ccncc3)nc(-c3ccoc3)nc2c1,0.0021697562,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccn1,0.0021696175,positive
c1cncc(-c2cc(NCCc3c[nH]c4ccccc34)ncn2)c1,0.002167258,positive
O=C(Nc1ccccc1)C1C=Nc2nc(-c3ccccc3)nn2C1c1ccncc1,0.0021671515,positive
O=C(CSC1=CC(c2ccccc2)CC=N1)Nc1nccs1,0.0021627923,positive
c1cncc(CNc2ncnc3ccc(-c4cccnc4)cc23)c1,0.0021609683,positive
S=C(Nc1ccccc1)N(CCc1nc2ccccc2[nH]1)Cc1cccnc1,0.0021601506,positive
O=C(CCC=NOCCCOCc1ccco1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.0021590986,positive
c1cncc(-c2nc(NCCN3CCOCC3)c3ccccc3n2)c1,0.0021526958,positive
c1cncc(CNc2ncncc2-c2cnoc2)c1,0.0021524562,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,0.0021460156,positive
c1ccc(-c2ccc3ncnc(NCCc4c[nH]c5ccccc45)c3c2)cc1,0.0021390847,positive
c1ccc(C2C3C(=Nc4ncnn42)c2ccccc2OC3c2ccncc2)cc1,0.0021372912,positive
c1ccc(CCNc2nc(-c3cccnc3)cs2)cc1,0.0021340707,positive
c1cn(-c2cc(-c3ccc4c(c3)OCO4)ncn2)cn1,0.0021322374,positive
c1ccc(Nc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1,0.0021282488,positive
O=C1C(Oc2ccccc2)C(c2ccc3c(c2)OCO3)N1CCc1ccccc1,0.0021279166,positive
c1ccc(-c2cncnc2NCc2cccs2)cc1,0.0021257752,positive
c1coc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,0.0021216846,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2s1,0.0021216648,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NC1CCCCC1,0.0021211153,positive
O=C(CSCc1coc(-c2ccccc2)n1)NCc1ccc2c(c1)OCO2,0.0021151062,positive
O=C(NCc1ccccc1)C(c1ccccc1)N(Cc1cccs1)C(=O)c1cnccn1,0.0021139877,positive
O=C(CSc1nnc2ccc3ccccc3n12)Nc1nc(-c2ccccc2)cs1,0.002112339,positive
c1ccc(CNc2ncncc2-c2cccnc2)cc1,0.0021083741,positive
O=S(=O)(NCC=NOCCC1C=CC(Oc2ccccc2)CO1)c1ccccc1,0.0020924052,positive
c1ccc(-c2nccc(NCc3cccnc3)n2)cc1,0.0020911219,positive
c1ccc(C(Cn2ccnc2)OCc2csc3ccccc23)cc1,0.002089788,positive
O=C1C=C2C(CCC3C4CCCC5CC23OC54)C(c2ccoc2)O1,0.0020875048,positive
O=C(CSc1nnc(-c2ccccn2)n1Cc1ccco1)Nc1ccc2c(c1)OCO2,0.002086467,positive
O=C(CC1CC1C(NC(=O)c1cccnc1)c1ccccc1)Nc1ccc2ccccc2c1,0.0020820445,positive
O=C1OC(=NCc2ccccc2)C2C3C(=CCc4c[nH]cc43)C=CN12,0.002074642,positive
O=C(CCCCCN1C=C(C(=O)OCc2ccccc2)C(c2ccc(C3CCCCC3)cc2)NC1=O)NCc1ccccc1,0.0020720232,positive
O=C(NCc1ccc2c(c1)OCO2)C1CCCN1C(=O)Nc1ccccc1,0.002067918,positive
c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1,0.0020639957,positive
O=C(c1cc2c(n1CC1CC1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002062418,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,0.00206224,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccc3)C2C1,0.0020615452,positive
c1ccc(-c2cncnc2-n2ccnc2)cc1,0.0020548555,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,0.0020519167,positive
O=C(NCC1CCCO1)c1c2ccccc2cn1Cc1ccc2c(c1)OCO2,0.0020515253,positive
c1ccc(Nc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,0.002044425,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2[nH]1,0.0020397194,positive
O=C(CCC=NOC1C=CCOC1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.0020392179,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,0.0020371696,positive
c1ccc(CNc2ncnc3ccc(-c4ccccc4)cc23)cc1,0.00203468,positive
O=C(NC1CCCCC1)C(c1ccc2ncccc2c1)N(Cc1ccccc1)C(=O)c1cccs1,0.0020319219,positive
c1ccc(CNc2nc(-c3cnoc3)nc3ccccc23)cc1,0.0020299593,positive
c1cncc(CNc2nc(-c3cccnc3)nc3ccccc23)c1,0.002026031,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cnn(-c2ccccc2)n1,0.0020223414,positive
c1cn(-c2ncnc3ccc(-c4ccoc4)cc23)cn1,0.002021706,positive
c1coc(CNc2ncncc2-c2cnoc2)c1,0.0020215816,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1ccccc1,0.0020199716,positive
